"ID_1","ID_2","HH_ID"
1802859,7700412,4992
1926404,8721260,4992
1946792,2872212,4992
1946792,6566025,4992
1975323,2266071,4992
1975323,5619657,4992
1975323,5941314,4992
1975323,6251944,4992
1986389,4061771,4992
1986389,9259576,4992
1987707,5686483,4992
2039837,7391185,4992
2039837,8307094,4992
2042196,6422768,4992
2042196,7338079,4992
2061667,2979187,4992
2061667,5409463,4992
2061667,6224157,4992
2061667,8676500,4992
2061667,9286976,4992
2074837,6758905,4992
2074837,7700412,4992
2074837,10634240,4992
2206587,3562863,4992
2206587,4890777,4992
2206587,6420155,4992
2228428,5786122,4992
2228428,6399109,4992
2228428,8457813,4992
2246000,3816136,4992
2246000,8307094,4992
2246000,8408730,4992
2246000,9114647,4992
2255840,3202871,4992
2255840,8177035,4992
2294179,9114647,4992
2311476,5941314,4992
2327880,3256851,4992
2327880,7042041,4992
2327880,10971823,4992
2370320,8219795,4992
2375443,5941314,4992
2375443,8772391,4992
2382087,2979187,4992
2399883,7700412,4992
2480588,5841931,4992
2480588,5863360,4992
2513708,5872250,4992
2513708,6161045,4992
2513708,6758905,4992
2550506,5619657,4992
2550506,7328225,4992
2562974,5106976,4992
2562974,6327020,4992
2595904,6965420,4992
2595904,9266954,4992
2595904,10668603,4992
2595904,10981293,4992
2670045,5204701,4992
2690498,4367338,4992
2709746,8772391,4992
2709746,9266954,4992
2714794,10539522,4992
2744218,9030718,4992
2745154,3575699,4992
2745154,6566025,4992
2745154,9103555,4992
2745154,9195785,4992
2765504,6360570,4992
2834664,4111512,4992
2834664,4708933,4992
2839558,3575699,4992
2859850,9816229,4992
2905430,5988624,4992
2905430,10752069,4992
2915743,9259576,4992
2934044,5992824,4992
2934044,8511641,4992
2979146,4231174,4992
2979146,4898805,4992
2979146,5549887,4992
2979146,8511641,4992
2979146,8990830,4992
3122952,4441918,4992
3122952,8457813,4992
3148679,8066605,4992
3202871,6145491,4992
3256851,5486385,4992
3279020,9243711,4992
3497893,4409228,4992
3497893,8507171,4992
3520019,9255284,4992
3520019,10608749,4992
3531051,8607401,4992
3531051,9496571,4992
3531247,4061771,4992
3531247,9495678,4992
3550510,4387264,4992
3562863,4255718,4992
3562863,8511641,4992
3562863,9249984,4992
3562863,9816229,4992
3575699,6607633,4992
3575699,7649698,4992
3575699,10687931,4992
3580789,10831864,4992
3596550,10129314,4992
3599412,5588632,4992
3599412,8607401,4992
3635775,10725086,4992
3637610,9496571,4992
3670595,6666259,4992
3762250,7230157,4992
3762250,7966625,4992
3762250,10083359,4992
3816136,9006044,4992
3816136,9124414,4992
3816136,9971699,4992
3866155,5658019,4992
3866155,8673181,4992
3866155,9624117,4992
3874063,6420155,4992
3874063,6548990,4992
3929678,4441918,4992
3996313,6422768,4992
4012262,9110128,4992
4047065,8877366,4992
4061771,5106976,4992
4231174,10237228,4992
4244140,7278454,4992
4288048,7457280,4992
4288048,8827732,4992
4349271,10735922,4992
4409228,4724883,4992
4409228,5542002,4992
4409228,8981358,4992
4434709,7700412,4992
4441918,5048671,4992
4441918,5367707,4992
4511263,5542002,4992
4554095,8615447,4992
4554095,9623809,4992
4561497,9308768,4992
4608571,10668603,4992
4663385,8747492,4992
4709315,6807256,4992
4709315,7700412,4992
4817035,6881587,4992
4817035,7802711,4992
4890777,9816229,4992
4890777,10668603,4992
4898805,6566025,4992
4950425,5230992,4992
5020019,7156957,4992
5048671,7042041,4992
5048671,10306895,4992
5106976,9103555,4992
5106976,9624117,4992
5132950,6649069,4992
5137599,8859446,4992
5186522,8046095,4992
5226310,8509775,4992
5226310,9435755,4992
5230992,6965420,4992
5230992,7365881,4992
5230992,8406816,4992
5374497,10725086,4992
5409463,7089957,4992
5409463,9623809,4992
5409463,9816229,4992
5409463,10801033,4992
5462381,8223526,4992
5486385,9006044,4992
5526448,10129314,4992
5619657,8680675,4992
5628687,9006044,4992
5658019,6295566,4992
5658019,6614876,4992
5658019,7332640,4992
5658019,8877366,4992
5658019,8971089,4992
5658019,10960382,4992
5676210,9308768,4992
5686483,6224157,4992
5686483,6607633,4992
5718470,7444379,4992
5786122,7156957,4992
5786122,7654326,4992
5811483,6693031,4992
5811483,7332640,4992
5811483,9114647,4992
5863360,7089957,4992
5890746,7391185,4992
5890746,7649698,4992
5941314,7151429,4992
5941314,9255284,4992
5941343,10735922,4992
5941844,6161045,4992
5941844,9200119,4992
5941844,9721306,4992
5941844,10306895,4992
5992824,8177035,4992
6070573,6706901,4992
6070573,6757168,4992
6070573,9255284,4992
6251944,7483359,4992
6327020,10347999,4992
6420155,10831864,4992
6433890,8676500,4992
6461641,8773355,4992
6461641,9479300,4992
6498318,7278454,4992
6498318,7759894,4992
6548990,9110128,4992
6607633,8773355,4992
6614876,8732916,4992
6614876,9721306,4992
6666259,7169485,4992
6693031,8613873,4992
6706901,8511641,4992
6758905,7156957,4992
6758905,8046095,4992
6800773,7338079,4992
6800773,8732916,4992
6800773,9721306,4992
6881587,10274014,4992
6912940,9721023,4992
6946157,10161938,4992
7089957,8990830,4992
7089957,9103555,4992
7152439,8859446,4992
7152439,9417183,4992
7156957,8046095,4992
7156957,9006044,4992
7177761,9255284,4992
7177761,10161938,4992
7278454,7332640,4992
7278454,10237228,4992
7444379,10876057,4992
